file_path,participant_id,mean,std,min,max
F:\Dataset\train\train_vbm\sub-119167600899_preproc-cat12vbm_desc-gm_T1w.npy,sub-119167600899,0.1267530173063278,0.3118349015712738,0.0,3.38039231300354
F:\Dataset\train\train_vbm\sub-138111937707_preproc-cat12vbm_desc-gm_T1w.npy,sub-138111937707,0.1233610287308693,0.3044227361679077,0.0,2.509804010391236
F:\Dataset\train\train_vbm\sub-145200850196_preproc-cat12vbm_desc-gm_T1w.npy,sub-145200850196,0.0490934178233146,0.1362039446830749,0.0,2.662745237350464
F:\Dataset\train\train_vbm\sub-165604485425_preproc-cat12vbm_desc-gm_T1w.npy,sub-165604485425,0.1241034269332885,0.305681049823761,0.0,2.117647171020508
F:\Dataset\train\train_vbm\sub-167010474107_preproc-cat12vbm_desc-gm_T1w.npy,sub-167010474107,0.0488786995410919,0.1309982389211654,0.0,1.831372618675232
F:\Dataset\train\train_vbm\sub-178209467155_preproc-cat12vbm_desc-gm_T1w.npy,sub-178209467155,0.1225548237562179,0.3013820350170135,0.0,3.309804201126098
F:\Dataset\train\train_vbm\sub-187117610937_preproc-cat12vbm_desc-gm_T1w.npy,sub-187117610937,0.1217869594693183,0.3011502027511596,0.0,2.596078634262085
F:\Dataset\train\train_vbm\sub-191710084170_preproc-cat12vbm_desc-gm_T1w.npy,sub-191710084170,0.1239740997552871,0.3037259578704834,0.0,2.886274576187134
F:\Dataset\train\train_vbm\sub-194461506428_preproc-cat12vbm_desc-gm_T1w.npy,sub-194461506428,0.1237421631813049,0.3062198460102081,0.0,4.160784721374512
F:\Dataset\train\train_vbm\sub-207275791415_preproc-cat12vbm_desc-gm_T1w.npy,sub-207275791415,0.0581107474863529,0.1481492221355438,0.0,1.4156863689422607
F:\Dataset\train\train_vbm\sub-209581014407_preproc-cat12vbm_desc-gm_T1w.npy,sub-209581014407,0.1229756101965904,0.300907552242279,0.0,2.945098161697388
F:\Dataset\train\train_vbm\sub-222441587470_preproc-cat12vbm_desc-gm_T1w.npy,sub-222441587470,0.1237101480364799,0.3034158647060394,0.0,2.7215688228607178
F:\Dataset\train\train_vbm\sub-222716353013_preproc-cat12vbm_desc-gm_T1w.npy,sub-222716353013,0.0446124076843261,0.1264053583145141,0.0,1.458823561668396
F:\Dataset\train\train_vbm\sub-251693910372_preproc-cat12vbm_desc-gm_T1w.npy,sub-251693910372,0.1228647977113723,0.3017205595970154,0.0,2.86274528503418
F:\Dataset\train\train_vbm\sub-260346128610_preproc-cat12vbm_desc-gm_T1w.npy,sub-260346128610,0.1327417641878128,0.3264319598674774,0.0,2.772549152374268
F:\Dataset\train\train_vbm\sub-303933482994_preproc-cat12vbm_desc-gm_T1w.npy,sub-303933482994,0.0464426204562187,0.1259322762489318,0.0,1.4156863689422607
F:\Dataset\train\train_vbm\sub-312712182553_preproc-cat12vbm_desc-gm_T1w.npy,sub-312712182553,0.1288223266601562,0.3166899681091308,0.0,3.066666841506958
F:\Dataset\train\train_vbm\sub-331581518043_preproc-cat12vbm_desc-gm_T1w.npy,sub-331581518043,0.0566886067390441,0.1456187665462494,0.0,2.450980424880981
