file_path,participant_id,mean,std,min,max
F:\Dataset\train\train_vbm\sub-100053248969_preproc-cat12vbm_desc-gm_T1w.npy,sub-100053248969,0.09452454745769501,0.23597925901412964,0.0,2.066666841506958
F:\Dataset\train\train_vbm\sub-100263562592_preproc-cat12vbm_desc-gm_T1w.npy,sub-100263562592,0.10547737032175064,0.26207688450813293,0.0,2.662745237350464
F:\Dataset\train\train_vbm\sub-100479214233_preproc-cat12vbm_desc-gm_T1w.npy,sub-100479214233,0.09569190442562103,0.23667500913143158,0.0,1.9372550249099731
F:\Dataset\train\train_vbm\sub-100544064116_preproc-cat12vbm_desc-gm_T1w.npy,sub-100544064116,0.09298105537891388,0.22874905169010162,0.0,1.835294246673584
F:\Dataset\train\train_vbm\sub-101404752059_preproc-cat12vbm_desc-gm_T1w.npy,sub-101404752059,0.09818565845489502,0.2460811287164688,0.0,2.4823529720306396
F:\Dataset\train\train_vbm\sub-101942030871_preproc-cat12vbm_desc-gm_T1w.npy,sub-101942030871,0.10079090297222137,0.2503352165222168,0.0,2.0705883502960205
F:\Dataset\train\train_vbm\sub-102730278561_preproc-cat12vbm_desc-gm_T1w.npy,sub-102730278561,0.0848289281129837,0.21082955598831177,0.0,2.0313727855682373
F:\Dataset\train\train_vbm\sub-103116472269_preproc-cat12vbm_desc-gm_T1w.npy,sub-103116472269,0.09687858074903488,0.24128858745098114,0.0,2.654902219772339
F:\Dataset\train\train_vbm\sub-103326586557_preproc-cat12vbm_desc-gm_T1w.npy,sub-103326586557,0.10065316408872604,0.25201141834259033,0.0,2.098039388656616
F:\Dataset\train\train_vbm\sub-104230378530_preproc-cat12vbm_desc-gm_T1w.npy,sub-104230378530,0.09505965560674667,0.23470865190029144,0.0,2.266666889190674
F:\Dataset\train\train_vbm\sub-104333986026_preproc-cat12vbm_desc-gm_T1w.npy,sub-104333986026,0.11029892414808273,0.26791271567344666,0.0,4.333333492279053
F:\Dataset\train\train_vbm\sub-104625609853_preproc-cat12vbm_desc-gm_T1w.npy,sub-104625609853,0.09581512212753296,0.23897255957126617,0.0,2.066666841506958
